article,Academy of Management Journal,Academy of Management Review,Administrative Science Quarterly,Information Systems Research,Journal of Accounting and Economics,Journal of Accounting Research,Journal of Consumer Research,Journal of Finance,Journal of Financial Economics,Journal of International Business Studies,Journal of Marketing,Journal of Marketing Research,Journal of Operations Management,INFORMS Journal on Computing,Management Science,Manufacturing and Service Operations Management,Marketing Science,MIS Quarterly,Operations Research,Organization Science,Production and Operations Management,Strategic Management Journal,The Accounting Review,The Review of Financial Studies,Decision Support Systems,Information and Management,Journal of Management Information Systems,Econometrica,American Economic Review,MIS Quart.,Management Sci.,Inform. Systems Res.,J. Management Inform. Systems,Organ. Sci.,Acad. Management Rev.,Acad. Management J.,Admin. Sci. Quart.,Marketing Sci.,J. Marketing Res.,J. Marketing
Managing Knowledge Distance IT-Enabled Inter-Firm Knowledge Capabilities in Collaborative Innovation,6,7,3,11,0,0,0,0,0,0,1,2,1,0,5,0,1,15,0,7,1,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining Semantic Soft Factors for Credit Risk Evaluation in Peer-to-Peer Lending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobile Time-Based Targeting Matching Product-Value Appeal to Time of Day,0,1,0,11,0,0,3,0,0,0,4,6,0,0,2,0,2,10,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
Monetary Incentive and Stock Opinions on Social Media,0,0,0,2,1,2,0,6,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuanced Responses to Enterprise Architecture Management Loyalty  Voice  and Exit,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Platform Competition in the Sharing Economy Understanding How Ride-Hailing Services Influence New Car Purchases,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
Power of Mobile Peer Groups A Design-Oriented Approach to Address Youth Unemployment,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Prominence and Engagement Different Mechanisms Regulating Continuance and Contribution in Online Communities,4,0,0,12,0,0,1,0,0,0,8,1,1,0,4,0,1,12,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Quality Assessment of Peer-Produced Content in Knowledge Repositories using Development and Coordination Activities,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,10,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Regulating Cryptocurrencies A Supervised Machine Learning Approach to De-Anonymizing the Bitcoin Blockchain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Shopping in Virtual Reality Stores The Influence of Immersion on System Adoption,0,0,0,4,0,0,5,0,0,0,2,2,0,0,0,0,3,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Influence and Monetization of Freemium Social Games,1,0,0,2,0,0,1,0,1,0,3,1,0,0,3,0,0,2,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Social Influence on Future Review Sentiments An Appraisal-Theoretic View,0,0,0,3,0,0,2,0,0,0,3,4,0,0,1,0,1,2,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Issue Immersive Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Section Engineering Artifacts and Processes of Information Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Section Social Influence and Networked Business Interaction,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Section The Growing Complexity of Enterprise Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Spillover Effects of Financial Incentives on Non-Incentivized User Engagement Evidence from an Online Knowledge Exchange Platform,0,1,0,2,0,0,0,0,0,0,0,0,0,0,8,0,2,5,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Temporal Effects of Repeated Recognition and Lack of Recognition on Online Community Contributions,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,1,7,0,0,0,1,0,0,6,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
The IT Identity Threat A Conceptual Definition and Operational Measure,1,6,0,2,0,0,0,0,0,0,0,2,1,0,2,0,0,10,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nature of Crowd Work and its Effects on Individuals' Work Perception,1,2,0,3,0,0,0,0,0,0,0,2,0,0,2,0,1,6,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Threshold Effects on Backer Motivations in Reward-Based Crowdfunding,0,0,0,2,0,0,1,0,0,0,1,1,0,0,7,0,0,5,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
Too Busy to Be Manipulated How Multitasking with Technology Improves Deception Detection in Collaborative Teamwork,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Touching Products Virtually Facilitating Consumer Mental Imagery with Gesture Control and Visual Presentation,0,0,0,2,0,0,5,0,0,0,3,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Try It On! Contingency Effects of Virtual Fitting Rooms,0,0,0,4,0,0,7,0,0,0,2,1,0,0,1,0,4,4,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Using Design-Science Based Gamification to Improve Organizational Security Training and Compliance,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,1,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Visual Background Music Creativity Support Systems with Priming,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
