article,Academy of Management Journal,Academy of Management Review,Administrative Science Quarterly,Information Systems Research,Journal of Accounting and Economics,Journal of Accounting Research,Journal of Consumer Research,Journal of Finance,Journal of Financial Economics,Journal of International Business Studies,Journal of Marketing,Journal of Marketing Research,Journal of Operations Management,INFORMS Journal on Computing,Management Science,Manufacturing and Service Operations Management,Marketing Science,MIS Quarterly,Operations Research,Organization Science,Production and Operations Management,Strategic Management Journal,The Accounting Review,The Review of Financial Studies,Decision Support Systems,Information and Management,Journal of Management Information Systems,Econometrica,American Economic Review,MIS Quart.,Management Sci.,Inform. Systems Res.,J. Management Inform. Systems,Organ. Sci.,Acad. Management Rev.,Acad. Management J.,Admin. Sci. Quart.,Marketing Sci.,J. Marketing Res.,J. Marketing
Contour-as-Face Framework A Method to Preserve Privacy and Perception,1,0,0,0,0,0,2,0,0,0,1,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Designed to S(m)ell When Scented Advertising Induces Proximity and Enhances Appeal,0,0,0,0,0,0,13,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extracting Features of Entertainment Products A Guided Latent Dirichlet Allocation Approach Informed by the Psychology of Media Consumption,0,0,0,0,0,0,0,0,0,0,1,7,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falling Back on Numbers When Preference for Numerical Product Information Increases after a Personal Control Threat,0,0,0,0,0,0,8,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fear of Detection and Efficacy of Prevention Using Construal Level to Encourage Health Behaviors,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Shipping Promotions and Product Returns,0,0,0,0,0,0,1,0,0,0,2,9,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frugality Is Hard to Afford,0,0,0,0,0,0,1,0,0,0,3,6,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Harmful Effects of Mental Imagery and Customer Orientation During New Product Screening,0,0,0,0,0,0,8,0,0,0,6,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having Control Over and Above Situations The Influence of Elevated Viewpoints on Risk Taking,0,0,0,0,0,0,14,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hiding Gifts Behind the Veil of Vouchers On the Effect of Gift Vouchers Versus Direct Gifts in Conditional Promotions,0,0,0,0,0,0,10,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How Should Firms Manage Excessive Product Use A Continuous-Time Demand Model to Test Reward Schedules  Notifications  and Time Limits,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
If at First You Do Succeed  Do You Try  Try Again Developing the Persistence-Licensing Response Measure to Understand  Predict  and Modify Behavior Following Subgoal Success,0,0,0,0,0,0,16,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In Mobile We Trust The Effects of Mobile Versus Nonmobile Reviews on Consumer Purchase Intentions,0,0,0,2,0,0,3,0,0,0,7,10,0,0,1,0,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inaction Traps in Consumer Response to Product Malfunctions,0,0,0,0,0,0,9,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Integration of Primary and Resale Platforms,1,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Is a Picture Worth a Thousand Words An Empirical Study of Image Content and Social Media Engagement,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Large-Scale Cross-Category Analysis of Consumer Review Content on Sales Conversion Leveraging Deep Learning,0,0,0,1,0,0,0,0,0,0,4,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Let the Logo Do the Talking The Influence of Logo Descriptiveness on Brand Equity,0,0,0,0,0,0,5,0,0,0,12,8,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leveraging Brand Equity for Effective Visual Product Design,0,0,0,0,0,0,1,0,0,0,6,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lowering the Minimum Donation Amount Increases Consumer Purchase Likelihood of Products Associated with Cause-Related Marketing Campaigns,0,1,0,0,0,0,1,0,0,0,2,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Managing Laggards The Importance of a Deep Sales Bench,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marketplace Donations The Role of Moral Identity Discrepancy and Gender,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Measuring Rank-Based Utility in Contests The Effect of Disclosure Schemes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Media Coverage of Climate Change and Sustainable Product Consumption Evidence from the Hybrid Vehicle Market,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mindful Matching Ordinal Versus Nominal Attributes,0,0,0,0,0,0,17,0,0,0,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mixing It Up Unsystematic Product Arrangements Promote the Choice of Unfamiliar Products,0,0,0,0,0,0,10,0,0,0,3,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modeling Dynamic Heterogeneity Using Gaussian Processes,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modeling Emerging-Market Firms' Competitive Retail Distribution Strategies,0,0,0,0,0,0,0,0,0,0,4,9,0,0,8,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multichannel Strategies for Managing the Profitability of Business-to-Business Customers,0,0,0,0,0,0,0,0,0,0,11,3,0,0,5,1,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiperiod Contracting and Salesperson Effort Profiles The Optimality of Hockey Stick  Giving Up  and Resting on Laurels,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,6,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Native Advertising in Online News Trade-Offs Among Clicks  Brand Recognition  and Website Trustworthiness,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonprofit Versus For-Profit Health Care Competition How Service Mix Makes Nonprofit Hospitals More Profitable,0,0,0,0,0,0,0,1,0,0,3,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
On the Other Hand ,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opening the Umbrella The Effects of Rebranding Multiple Category-Specific Private-Label Brands to One Umbrella Brand,0,0,0,0,0,0,1,0,0,0,19,19,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Opportunity Cost Overestimation,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Optimal Design of Free Samples for Digital Products and Services,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2V-MAP Mapping Market Structures for Large Retail Assortments,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Personalizing the Customization Experience A Matching Theory of Mass Customization Interfaces and Cultural Information Processing,0,0,0,0,0,0,8,0,0,0,4,8,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Political Identity and Financial Risk Taking Insights from Social Dominance Orientation,2,1,1,0,0,0,7,1,1,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Price-Matching Guarantees as a Direct Signal of Low Prices,0,0,0,0,0,0,1,0,0,0,1,5,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Product Launches with New Attributes A Hybrid Conjoint-Consumer Panel Technique for Estimating Demand,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Prosocial Goal Pursuit in Crowdfunding Evidence from Kickstarter,0,0,0,1,0,0,4,0,0,0,0,5,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Putting the Person Back in Person-Brands Understanding and Managing the Two-Bodied Brand,0,1,0,0,0,0,9,0,0,0,9,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sales Force Compensation Design for Two-Sided Market Platforms,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,7,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Selectively Emotional How Smartphone Use Changes User-Generated Content,0,0,0,1,0,0,5,0,0,0,1,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Service Providers' Decision to Use Ethics Committees and Consultation in Complex Services,1,3,0,0,0,0,3,0,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Service Robots Rising How Humanoid Robots Influence Service Experiences and Elicit Compensatory Consumer Responses,0,0,0,0,0,0,8,0,0,0,5,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speaking for Free Word of Mouth in Free- and Paid-Product Settings,0,0,0,1,0,0,10,0,0,0,4,6,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategic Manipulation of University Rankings  the Prestige Effect  and Student University Choice,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0
Targeted Promotions on an E-Book Platform Crowding Out  Heterogeneity  and Opportunity Costs,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Task-Dependent Algorithm Aversion,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Anatomy of the Advertising Budget Decision How Analytics and Heuristics Drive Sales Performance,0,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Charm of Behavior-Based Pricing When Consumers' Taste Is Diverse and the Consideration Set Is Limited,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Commitment Projection Effect When Multiple Payments for a Product Affect Defection from a Service,0,0,0,0,0,0,8,0,0,0,15,9,0,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Differential Effect of Local-Global Identity Among Males and Females The Case of Price Sensitivity,0,0,0,0,0,0,8,0,0,0,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Effect of Links and Excerpts on Internet News Consumption,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
The Enhancing Versus Backfiring Effects of Positive Emotion in Consumer Reviews,0,0,0,0,0,0,11,0,0,0,6,10,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Impact of a Complement-Based Assortment Organization on Purchases,0,0,0,0,0,0,10,0,0,0,4,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Impact of Increasing Search Frictions on Online Shopping Behavior Evidence from a Field Experiment,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
The Joint and Multilevel Effects of Training and Incentives from Upstream Manufacturers on Downstream Salespeople's Efforts,0,5,0,0,0,0,0,0,1,0,24,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
The Left-Digit Bias When and Why Are Consumers Penny Wise and Pound Foolish,0,0,0,0,0,0,10,0,0,0,4,6,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Moderating Effect of Buying Impulsivity on the Dynamics of Unplanned Purchasing Motivations,0,0,0,0,0,0,12,0,0,0,8,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sales Impact of Using Handheld Scanners Evidence from the Field,0,1,0,0,0,0,11,0,0,0,6,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Secret Ingredient Is Me Customization Prompts Self-Image-Consistent Product Perceptions,0,0,0,0,0,0,5,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sleepy Consumer and Variety Seeking,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
The Smell of Healthy Choices Cross-Modal Sensory Compensation Effects of Ambient Scent on Food Purchases,0,0,0,0,0,0,12,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Strength of Weak-Tie Consensus Language,1,0,0,0,0,0,21,0,0,0,4,14,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Surprising Breadth of Harbingers of Failure,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Value of Rapid Delivery in Omnichannel Retailing,0,0,0,0,0,0,0,0,0,0,2,10,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Visual Asymmetry Effect An Interplay of Logo Design and Brand Personality on Brand Equity,0,0,0,0,0,0,7,0,0,0,12,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toward a Process-Transfer Model of the Endorser Effect,0,0,0,0,0,0,9,0,0,0,6,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transparency of Behavior-Based Pricing,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Understanding Consumer Dynamic Decision Making Under Competing Loyalty Programs,0,0,0,0,0,0,1,0,0,0,2,6,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Up  Up  and Away Upgrading as a Response to Dissimilar Brand Users,0,0,0,0,0,0,14,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Value Appropriation and Firm Shareholder Value Role of Advertising and Receivables Management,0,0,0,0,0,1,2,6,0,0,24,9,0,0,3,0,11,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Wearout or Weariness Measuring Potential Negative Consequences of Online Ad Volume and Placement on Website Visits,0,0,0,0,0,0,4,0,0,0,2,16,0,0,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weather  Affect  and Preference for Hedonic Products The Moderating Role of Gender,0,0,0,0,0,0,3,0,0,0,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When Does Customer Participation Matter An Empirical Investigation of the Role of Customer Empowerment in the Customer Participation-Performance Link,2,2,0,0,0,0,2,0,0,0,19,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When More Seems Like Less Differential Price Framing Increases the Choice Share of Higher-Priced Options,0,0,0,0,0,0,21,0,0,0,2,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
When Posting About Products on Social Media Backfires The Negative Effects of Consumer Identity Signaling on Product Interest,0,0,0,0,0,0,11,0,0,0,4,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When Salespeople Manage Customer Relationships Multidimensional Incentives and Private Information,0,0,0,0,0,0,0,2,0,0,1,6,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
When Words Sweat Identifying Signals for Loan Default in the Text of Loan Applications,1,0,0,0,0,0,4,0,0,0,0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Why Prosocial Referral Incentives Work The Interplay of Reputational Benefits and Action Costs (vol 57  pg 156  2020),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Why Prosocial Referral Incentives Work The Interplay of Reputational Benefits and Action Costs,1,0,0,0,0,0,2,0,0,0,4,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
