article,Academy of Management Journal,Academy of Management Review,Administrative Science Quarterly,Information Systems Research,Journal of Accounting and Economics,Journal of Accounting Research,Journal of Consumer Research,Journal of Finance,Journal of Financial Economics,Journal of International Business Studies,Journal of Marketing,Journal of Marketing Research,Journal of Operations Management,INFORMS Journal on Computing,Management Science,Manufacturing and Service Operations Management,Marketing Science,MIS Quarterly,Operations Research,Organization Science,Production and Operations Management,Strategic Management Journal,The Accounting Review,The Review of Financial Studies,Decision Support Systems,Information and Management,Journal of Management Information Systems,Econometrica,American Economic Review,MIS Quart.,Management Sci.,Inform. Systems Res.,J. Management Inform. Systems,Organ. Sci.,Acad. Management Rev.,Acad. Management J.,Admin. Sci. Quart.,Marketing Sci.,J. Marketing Res.,J. Marketing
Audit Policies Under the Sentinel Effect Deterrence-Driven Algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0
Balancing Openness and Prioritization in a Two-Tier Internet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0
Bargaining over Data When Does Making the Buyer More Informed Help,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,3,3,1,0,0,0,0,2,0,0
Battle of the Internet Channels How Do Mobile and Fixed-Line Quality Drive Internet Use,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,1,0,0,0,0,2,1,1
Beauty Is in the Eye of the Beholder Toward a Contextual Understanding of Compensation of Information Technology Professionals Within and Across Geographies,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,2,1,0,2,0,0,0,0
Bilateral Liability-Based Contracts in Information Security Outsourcing,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,2,0,0,0,0,0,0,0
Bloatware and Jailbreaking Strategic Impacts of Consumer-Initiated Modification of Technology Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,1,0,0,0,0,2,0,0
Consumption and Performance Understanding Longitudinal Dynamics of Recommender Systems via an Agent-Based Simulation Framework,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,1,0
Content Growth and Attention Contagion in Information Networks Addressing Information Poverty on Wikipedia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0
Cross-Platform Spillover Effects in Consumption of Viral Content A Quasi-Experimental Analysis Using Synthetic Controls,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,2,0,0,0,0,12,12,3
Crowd-Driven Competitive Intelligence Understanding the Relationship Between Local Market Competition and Online Rating Distributions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,1,0,0,0,0
Crowdfunding and the Democratization of Access to Capital-An Illusion Evidence from Housing Prices,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,0,0,0,0,0,0,0
Data-Driven Computationally Intensive Theory Development,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,4,0,3,0,0,0
Does Identity Disclosure Help or Hurt User Content Generation Social Presence  Inhibition  and Displacement Effects,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,8,7,2,1,0,0,0,1,0,1
Does It Pay to Shroud In-App Purchase Prices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,3,0,0,0,0,0,1,0,0
Does Superposition Influence the Success of FLOSS Projects An Examination of Open-Source Software Development by Organizations and Individuals,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,4,5,1,0,3,1,1,0,0,0
Don't Mention It Analyzing User-Generated Content Signals for Early Adverse Event Warnings,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1
Effects of Sponsorship Disclosure on Perceived Integrity of Biased Recommendation Agents Psychological Contract Violation and Knowledge-Based Trust Perspectives,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,7,4,0,2,0,1,1,0,2
Efficient Computational Strategies for Dynamic Inventory Liquidation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0
Electronic Health Records and the Logics of Care Complementarity and Conflict in the US Healthcare System,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,7,1,8,1,3,3,0,0,0
Explaining Digital Piracy A Meta-Analysis,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,1,0,0,1,0,1,1,5
Financial Returns to Firms' Communication Actions on Firm-Initiated Social Media Evidence from Facebook Business Pages,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,13,1,0,0,1,0,5,2,7
Flexible and Committed Advertising Contracts in Electronic Retailing,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0
Forward-Looking Behavior in Mobile Data Consumption and Targeted Promotion Design A Dynamic Structural Model,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,2,3,1
From Bricks to an Edifice Cultivating Strong Inference in Information Systems Research,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
From Lurkers to Workers Predicting Voluntary Contribution and Community Welfare,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,1,3,1,0,1,2,0,0
Hiding Sensitive Information when Sharing Distributed Transactional Data,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
How Do EHRs and a Meaningful Use Initiative Affect Breaches of Patient Information,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,4,8,2,0,0,0,0,0,0,0
How Do Recommender Systems Affect Sales Diversity A Cross-Category Investigation via Randomized Field Experiment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,0,4,1,0
How Does the Implementation of Enterprise Information Systems Affect a Professional's Mobility An Empirical Study,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,4,3,2,0,3,3,0,0,1
How Mega Is the Mega Exploring the Spillover Effects of WeChat Using Graphical Model,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0
How Pair Programming Influences Team Performance The Role of Backup Behavior  Shared Mental Models  and Task Novelty,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,1,1,1,0,0,0
Impact of Live Chat on Purchase in Electronic Markets The Moderating Role of Information Cues,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,6,5,1,0,1,0,0,0,2,5
Innovation and Policy Support for Two-Sided Market Platforms Can Government Policy Makers and Executives Optimize Both Societal Value and Profits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,1,1
Jack of All  Master of Some Information Network and Innovation in Crowdsourcing Communities,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,4,0,4,0,1,2,1,1,0
Knowledge Transfers in Alliances Exploring the Facilitating Role of Information Technology,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,7,5,1,7,0,3,4,0,0,0
Large Online Product Catalog Space Indicates High Store Price Understanding Customers' Overgeneralization and Illogical Inference,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,10,0,0,0,0,0,4,11,5
Level Up Leveraging Skill and Engagement to Maximize Player Game-Play in Online Video Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,1,1,1
Leveraging User-Generated Content for Product Promotion The Effects of Firm-Highlighted Reviews,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,5,3,0,0,0,0,1,4,4
Measuring and Managing the Externality of Managerial Responses to Online Customer Reviews,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,8,0,0,0,0,0,5,2,2
Monday Effect on Performance Variations in Supply Chain Fulfillment How Information Technology-Enabled Procurement May Help,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,0,0
Motivating Effective Mobile App Adoptions Evidence from a Large-Scale Randomized Field Experiment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,6,5,0,0,0,0,0,1,4,1
Moving IS Project Control Research into the Digital Era The Why of Control and the Concept of Control Purpose,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,7,3,7,9,0,4,0,0,1
Online Display Advertising Markets A Literature Review and Future Directions,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,22,13,0
Online Product Reviews-Triggered Dynamic Pricing Theory and Evidence,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,14,8,4,0,0,0,0,12,4,4
Onward and Upward An Empirical Investigation of Gender and Promotions in Information Technology Services,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,3,3,1,0,0
Optimal Auction Design for Wi-Fi Procurement,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0
Optimal Management of Virtual Infrastructures Under Flexible Cloud Service Agreements,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Performance Consequences of Information Technology Investments Implications of Emphasizing New or Current Information Technologies,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,7,0,4,0,2,0,0,0,0
Personalized Mobile Targeting with User Engagement Stages Combining a Structural Hidden Markov Model and Field Experiment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,5,3,0,0,0,0,0,8,1,0
Platform Pricing and Investment to Drive Third-Party Value Creation in Two-Sided Networks,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,1,1,0,0,0,0,0
Prescribing Response Strategies to Manage Customer Opinions A Stochastic Differential Equation Approach,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,5,0,0,0,0,0,6,3,0
Relative Privacy Valuations Under Varying Disclosure Characteristics,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,1,0,0,0,0,0,0
Seeing the Trees or the Forest The Effect of IT Project Managers' Mental Construal on IT Project Risk Management Activities,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,3,1,1,2,0,0,0,0
Seizing the Commuting Moment Contextual Targeting Based on Mobile Transportation Apps,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,7,0
Selling Virtual Currency in Digital Games Implications for Gameplay and Social Welfare,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0
Social Networks  Funding  and Regional Advantages in Technology Entrepreneurship An Empirical Analysis,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,1,0,0,1
Software Patents and Firm Value A Real Options Perspective on the Role of Innovation Orientation and Environmental Uncertainty,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,11,0,2,2,3,3,0,1,0
Storm Clouds on the Horizon New Entry Threats and R&amp;D Investments in the US IT Industry,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,0,1,4,1,1,0,1,3
Talking Up a Storm How Backers Use Public Discourse to Exert Control in Crowdfunded Systems Development Projects,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,7,5,3,7,1,4,0,0,2
The Adaptive Roles of Positive and Negative Emotions in Organizational Insiders' Security-Based Precaution Taking,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,4,4,0,0,1,2,2,1,0
The Coevolution of Objects and Boundaries over Time Materiality  Affordances  and Boundary Salience,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,19,0,0,0,0,0,0
The Digital Sin City An Empirical Study of Craigslist's Impact on Prostitution Trends,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,0,0,0,0,0,1,0,1
The Dynamics of Online Consumers' Response to Price Promotion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,8,3,8
The Impact of Twitter Adoption on Lawmakers' Voting Orientations,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,0,0,0,0,1,0,0
The Importance of Interactions Between Content Characteristics and Creator Characteristics for Studying Virality in Social Media,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2
The Spillover of Spotlight Platform Recommendation in the Mobile App Market,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,6,0,0,0,0,5,5,1
The Strategic Value of Information Technology in Setting Productive Capacity,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0
The Voice of the Customer Managing Customer Care in Twitter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0
Toward a Theory of Information Systems Security Behaviors of Organizational Employees A Dialectical Process Perspective,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,1,3,7,7,4,0,0,0
Trade-Offs in Online Advertising Advertising Effectiveness and Annoyance Dynamics Across the Purchase Funnel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,0,0,0,0,0,4,2,2
Triadic Closure  Homophily  and Reciprocation An Empirical Investigation of Social Ties Between Content Providers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7,1,2,2,0,5,2,3,0
Turning Liabilities of Global Operations into Assets IT-Enabled Social Integration Capacity and Exploratory Innovation,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,13,2,5,1,7,4,0,0,0
Understanding Physicians' Online-Offline Behavior Dynamics An Empirical Study,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,8,3,2,0,0,0,2,0,1
Understanding User-Generated Content and Customer Engagement on Facebook Business Pages,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,5,0,1,0,0,0,4,1,6
Unemployment and Worker Participation in the Gig Economy Evidence from an Online Labor Market,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,1,0,0,0,0,0,0,0
Unraveling the Social in Social Norms The Conditioning Effect of User Connectivity,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,0,1,0,1
Using Technology to Persuade Visual Representation Technologies and Consensus Seeking in Virtual Teams,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,1,3,1,0,1,1
Using User- and Marketer-Generated Content for Box Office Revenue Prediction Differences Between Microblogging and Third-Party Platforms,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,8,0,0,0,0,0,8,4,2
When a Doctor Knows  It Shows An Empirical Analysis of Doctors' Responses in a Q&amp;A Forum of an Online Healthcare Portal,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,11,3,0,0,0,0,1,1,1
When Algorithmic Predictions Use Human-Generated Data A Bias-Aware Classification Algorithm for Breast Cancer Diagnosis,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0
When and How to Leverage E-commerce Cart Targeting The Relative and Moderated Effects of Scarcity and Price Incentives with a Two-Stage Field Experiment and Causal Forest Optimization,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,10,8,3
When Seeing Helps Believing The Interactive Effect s of Previews and Reviews on E-Book Purchases,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,5,1,0,0,0,0,4,8,6
When the Bank Comes to You Branch Network and Customer Omnichannel Banking Behavior,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,3,2,3
When to Play Your Advertisement Optimal Insertion Policy of Behavioral Advertisement,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,4,1,0
Who Wants Consumers to Be Informed Facilitating Information Disclosure in a Distribution Channel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,0,0,0,0,3,1,0
Why Do Stores Drive Online Sales Evidence of Underlying Mechanisms from a Multichannel Retailer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,2,5
Why Would I Use Location-Protective Settings on My Smartphone Motivating Protective Behaviors and the Existence of the Privacy Knowledge-Belief Gap,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1
Word-of-Mouth System Implementation and Customer Conversion A Randomized Field Experiment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,18,1,0,0,0,0,8,5,8
Words Matter! Toward a Prosocial Call-to-Action for Online Referral Evidence from Two Field Experiments,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,2,2,3
Your Hometown Matters Popularity-Difference Bias in Online Reputation Platforms,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,10,0,0,0,0,0,2,3,4
