article,Academy of Management Journal,Academy of Management Review,Administrative Science Quarterly,Information Systems Research,Journal of Accounting and Economics,Journal of Accounting Research,Journal of Consumer Research,Journal of Finance,Journal of Financial Economics,Journal of International Business Studies,Journal of Marketing,Journal of Marketing Research,Journal of Operations Management,INFORMS Journal on Computing,Management Science,Manufacturing and Service Operations Management,Marketing Science,MIS Quarterly,Operations Research,Organization Science,Production and Operations Management,Strategic Management Journal,The Accounting Review,The Review of Financial Studies,Decision Support Systems,Information and Management,Journal of Management Information Systems,Econometrica,American Economic Review,MIS Quart.,Management Sci.,Inform. Systems Res.,J. Management Inform. Systems,Organ. Sci.,Acad. Management Rev.,Acad. Management J.,Admin. Sci. Quart.,Marketing Sci.,J. Marketing Res.,J. Marketing
DESIGNING REAL-TIME FEEDBACK FOR BIDDERS IN HOMOGENEOUS-ITEM CONTINUOUS COMBINATORIAL AUCTIONS,0,0,0,13,0,0,0,0,0,0,0,0,1,0,7,0,0,22,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DEVELOPER CENTRALITY AND THE IMPACT OF VALUE CONGRUENCE AND INCONGRUENCE ON COMMITMENT AND CODE CONTRIBUTION ACTIVITY IN OPEN SOURCE SOFTWARE COMMUNITIES,8,2,4,12,0,0,0,0,0,0,0,1,0,0,4,0,0,27,0,5,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
DICE-E A FRAMEWORK FOR CONDUCTING DARKNET IDENTIFICATION  COLLECTION  EVALUATION WITH ETHICS,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DIGITAL FIRST THE ONTOLOGICAL REVERSAL AND NEW CHALLENGES FOR INFORMATION SYSTEMS RESEARCH,2,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DIGITIZATION AND PHASE TRANSITIONS IN PLATFORM ORGANIZING LOGICS EVIDENCE FROM THE PROCESS AUTOMATION INDUSTRY,0,3,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIGITIZATION OF MUSIC CONSUMER ADOPTION AMIDST PIRACY  UNBUNDLING  AND REBUNDLING,0,0,0,13,0,0,0,0,0,0,3,2,0,0,15,0,5,23,2,0,1,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
DO SEARCH ENGINES INFLUENCE MEDIA PIRACY EVIDENCE FROM A RANDOMIZED FIELD STUDY,0,0,0,2,0,0,2,0,0,0,4,4,0,0,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOPTIMAL MARKET ENTRY TIMING FOR SUCCESSIVE GENERATIONS OF TECHNOLOGICAL INNOVATIONS,0,0,0,4,0,0,0,0,0,0,0,3,0,1,12,0,7,20,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
EXAMINING HOW CHRONICALLY ILL PATIENTS' REACTIONS TO AND EFFECTIVE USE OF INFORMATION TECHNOLOGY CAN INFLUENCE HOW WELL THEY SELF-MANAGE THEIR ILLNESS,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPECTING THE UNEXPECTED EFFECTS OF DATA COLLECTION DESIGN CHOICES ON THE QUALITY OF CROWDSOURCED USER-GENERATED CONTENT,1,0,0,13,0,0,1,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FAKE NEWS ON SOCIAL MEDIA PEOPLE BELIEVE WHAT THEY WANT TO BELIEVE WHEN IT MAKES NO SENSE AT ALL,0,2,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,23,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
FINDING PEOPLE WITH EMOTIONAL DISTRESS IN ONLINE SOCIAL MEDIA A DESIGN COMBINING MACHINE LEARNING AND RULE-BASED CLASSIFICATION,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOLLOWERSHIP IN AN OPEN-SOURCE SOFTWARE PROJECT AND ITS SIGNIFICANCE IN CODE REUSE,3,3,0,10,0,0,2,0,0,1,0,0,0,0,6,0,0,23,1,5,0,2,0,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
FOR STARTUPS  ADAPTABILITY AND MENTOR NETWORK DIVERSITY CAN BE PIVOTAL EVIDENCE FROM A RANDOMIZED EXPERIMENT ON A MOOC PLATFORM,3,0,7,18,0,0,0,1,0,0,0,0,0,0,14,0,1,24,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAMING COMMUNICATION HOW AGENDA ALIGNMENT AND MEDIA CAPABILITIES SHAPE PARTIALLY COOPERATIVE COMMUNICATION,3,1,0,10,0,0,0,0,0,0,0,0,0,0,9,0,1,40,1,5,1,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
GO TO YOUTUBE AND CALL ME IN THE MORNING USE OF SOCIAL MEDIA FOR CHRONIC CONDITIONS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GOVERNANCE AND ICT4D INITIATIVE SUCCESS A LONGITUDINAL FIELD STUDY OF TEN VILLAGES IN RURAL INDIA,2,2,0,16,0,0,0,0,1,0,0,0,1,0,4,0,0,32,0,2,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HIGH RELIABILITY IN DIGITAL ORGANIZING MINDLESSNESS  THE FRAME PROBLEM  AND DIGITAL OPERATIONS,1,3,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOLISTIC ARCHETYPES OF IT OUTSOURCING STRATEGY A CONTINGENCY FIT AND CONFIGURATIONAL APPROACH,8,10,4,17,0,0,0,0,0,2,2,1,6,0,6,0,0,49,0,2,0,14,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
HOW DO ADOPTERS TRANSITION BETWEEN NEW AND INCUMBENT CHANNELS,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,2,19,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
HOW DOES STRATEGIC ALIGNMENT AFFECT FIRM PERFORMANCE THE ROLES OF INFORMATION TECHNOLOGY INVESTMENT AND ENVIRONMENTAL UNCERTAINTY,9,1,2,19,0,0,0,1,2,0,0,1,0,0,5,0,0,45,0,5,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
HOW TECHNOLOGY-AFFORDED PRACTICES AT THE MICRO-LEVEL CAN GENERATE CHANGE AT THE FIELD LEVEL THEORIZING THE RECURSIVE MECHANISM ACTUALIZED IN SWEDISH RHEUMATOLOGY 2000-2014,5,2,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICT FOR DEVELOPMENT IN RURAL INDIA A LONGITUDINAL STUDY OF WOMEN'S HEALTH OUTCOMES,10,3,9,7,0,0,0,0,0,0,0,0,0,0,3,0,0,37,0,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INSTITUTIONAL LOGICS AND PLURALISTIC RESPONSES TO ENTERPRISE SYSTEM IMPLEMENTATION A QUALITATIVE META-ANALYSIS,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTENSIFYING TO CEASE UNPACKING THE PROCESS OF INFORMATION SYSTEMS DISCONTINUANCE,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INVESTIGATING THE RELATIONSHIP BETWEEN MEDICAL CROWDFUNDING AND PERSONAL BANKRUPTCY IN THE UNITED STATES EVIDENCE OF A DIGITAL DIVIDE,0,0,0,8,0,0,0,1,0,0,0,0,0,0,7,0,1,14,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
IS BEST ANSWER REALLY THE BEST ANSWER THE POLITENESS BIAS,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,20,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IS CYBERSECURITY A TEAM SPORT A MULTILEVEL EXAMINATION OF WORKGROUP INFORMATION SECURITY EFFECTIVENESS,5,5,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS THERE A GENETIC BASIS FOR INFORMATION SEARCH PROPENSITY A GENOTYPING EXPERIMENT,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,29,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
IT-ENABLED SELF-MONITORING FOR CHRONIC DISEASE SELF-MANAGEMENT AN INTERDISCIPLINARY REVIEW,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOVE UNSHACKLED IDENTIFYING THE EFFECT OF MOBILE APP ADOPTION IN ONLINE DATING,0,0,0,3,0,0,0,0,0,0,0,0,0,1,9,0,4,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MANAGING THE CROWDS THE EFFECT OF PRIZE GUARANTEES AND IN-PROCESS FEEDBACK ON PARTICIPATION IN CROWDSOURCING CONTESTS,0,1,0,3,0,0,0,0,0,0,2,2,0,0,7,0,2,35,0,0,5,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
MOBILE APP RECOMMENDATION AN INVOLVEMENT-ENHANCED APPROACH,0,0,0,3,0,0,3,0,1,0,3,2,0,1,5,0,1,22,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MODELING MULTICHANNEL ADVERTISING ATTRIBUTION ACROSS COMPETITORS,0,0,0,3,0,0,1,0,0,0,0,8,0,1,6,0,7,18,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
MUTUAL UNDERSTANDING IN INFORMATION SYSTEMS DEVELOPMENT CHANGES WITHIN AND ACROSS PROJECTS,5,8,1,16,0,0,0,0,0,0,0,0,0,0,4,0,0,54,0,11,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
NURTURING ONLINE COMMUNITIES AN EMPIRICAL INVESTIGATION,1,0,3,9,0,0,2,0,0,0,1,0,1,0,5,0,1,23,0,4,2,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
OPERATIONALIZING REGULATORY FOCUS IN THE DIGITAL AGE EVIDENCE FROM AN E-COMMERCE CONTEXT,2,1,0,12,0,0,7,0,0,0,2,9,0,1,7,0,5,30,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
OPTIMAL ASSET TRANSFER IN IT OUTSOURCING CONTRACTS,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,33,0,0,0,1,0,0,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0
OPTIMIZING AND SATISFICING THE INTERPLAY BETWEEN PLATFORM ARCHITECTURE AND PRODUCERS' DESIGN STRATEGIES FOR PLATFORM PERFORMANCE,0,6,1,7,0,0,0,0,0,0,0,0,0,0,14,0,0,31,0,13,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORGANIZED COMPLEXITY OF DIGITAL BUSINESS STRATEGY A CONFIGURATIONAL PERSPECTIVE,7,4,3,18,0,0,0,0,0,0,3,0,4,0,5,0,2,42,0,7,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PATIENT-PROVIDER ENGAGEMENT AND ITS IMPACT ON HEALTH OUTCOMES A LONGITUDINAL STUDY OF PATIENT PORTAL USE,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,0,20,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PLATFORM-BASED FUNCTION REPERTOIRE  REPUTATION  AND SALES PERFORMANCE OF E-MARKETPLACE SELLERS,5,1,3,15,0,0,1,0,0,0,4,2,2,0,9,0,4,28,0,1,0,11,0,0,4,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0
PLAYING TO THE CROWD DIGITAL VISIBILITY AND THE SOCIAL DYNAMICS OF PURCHASE DISCLOSURE,0,0,0,3,0,0,5,0,0,0,2,2,0,0,2,0,0,8,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
REDUCING RECOMMENDER SYSTEM BIASES AN INVESTIGATION OF RATING DISPLAY DESIGNS,0,0,0,8,0,0,2,0,0,0,0,0,2,1,4,0,0,22,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RESPONDING-OR NOT-TO INFORMATION TECHNOLOGY PROJECT RISKS AN INTEGRATIVE MODEL,1,3,0,13,0,0,1,0,0,0,0,1,0,0,2,0,0,37,0,1,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
SAYS WHO THE EFFECTS OF PRESENTATION FORMAT AND SOURCE RATING ON FAKE NEWS IN SOCIAL MEDIA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
SEE NO EVIL  HEAR NO EVIL DISSECTING THE IMPACT OF ONLINE HACKER FORUMS,0,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,1,33,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SEEING THE FOREST AND THE TREES A META-ANALYSIS OF THE ANTECEDENTS TO INFORMATION SECURITY POLICY COMPLIANCE,1,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,83,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
SEPARATE VERSUS JOINT EVALUATION THE ROLES OF EVALUATION MODE AND CONSTRUAL LEVEL IN TECHNOLOGY ADOPTION,1,1,0,8,0,0,2,0,0,0,0,3,1,0,3,0,0,37,0,1,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SHARING IS CARING SOCIAL SUPPORT PROVISION AND COMPANIONSHIP ACTIVITIES IN HEALTHCARE VIRTUAL SUPPORT COMMUNITIES,1,5,1,15,0,0,0,0,0,0,0,1,0,0,4,0,0,30,0,4,0,2,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNTHETIC KNOWING THE POLITICS OF THE INTERNET OF THINGS,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMING COMPLEXITY IN SEARCH MATCHING TWO-SIDED RECOMMENDER SYSTEMS ON DIGITAL PLATFORMS,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,20,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TECHNOLOGY AS ROUTINE CAPABILITY,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE BRIGHT AND DARK SIDES OF TECHNOSTRESS A MIXED-METHODS STUDY INVOLVING HEALTHCARE IT,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,3,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
THE DYNAMICS OF DRIFT IN DIGITIZED PROCESSES,2,5,4,8,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THE EFFECT OF PIRACY WEBSITE BLOCKING ON CONSUMER BEHAVIOR,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
THE EFFECTS OF PARTICIPATING IN A PHYSICIAN-DRIVEN ONLINE HEALTH COMMUNITY IN MANAGING CHRONIC DISEASE EVIDENCE FROM TWO NATURAL EXPERIMENTS,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
THE EVOLUTION OF INFORMATION SYSTEMS ARCHITECTURE AN AGENT-BASED SIMULATION MODEL,2,6,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THE EXPERTS IN THE CROWD THE ROLE OF EXPERIENCED INVESTORS IN A CROWDFUNDING MARKET,1,1,1,4,0,1,1,6,2,0,0,2,0,0,8,0,2,19,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
The First Revision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE IMPACT OF CUSTOMER VALUATION UNCERTAINTY ON SOFTWARE LICENSING,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,3,24,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
THE RIGHT MUSIC AT THE RIGHT TIME ADAPTIVE PERSONALIZED PLAYLISTS BASED ON SEQUENCE MODELING,0,0,0,3,0,0,0,1,0,0,0,0,0,2,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE ROLE OF AFFORDANCES IN THE DEINSTITUTIONALIZATION OF A DYSFUNCTIONAL HEALTH MANAGEMENT INFORMATION SYSTEM IN KENYA AN IDENTITY WORK PERSPECTIVE,8,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE SOCIOTECHNICAL AXIS OF COHESION FOR THE IS DISCIPLINE ITS HISTORICAL LEGACY AND ITS CONTINUED RELEVANCE,1,1,0,42,0,0,0,0,0,0,0,0,0,0,3,0,0,66,0,9,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
THEORIZING THE DIGITAL OBJECT,0,2,0,9,0,0,2,0,0,0,1,0,0,0,1,0,3,46,0,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAJECTORIES OF REPEATED READMISSIONS OF CHRONIC DISEASE PATIENTS RISK STRATIFICATION  PROFILING  AND PREDICTION,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,1,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USING EYE TRACKING TO EXPOSE COGNITIVE PROCESSES IN UNDERSTANDING CONCEPTUAL MODELS,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
USING ORGANISMIC INTEGRATION THEORY TO EXPLORE THE ASSOCIATIONS BETWEEN USERS' EXERCISE MOTIVATIONS AND FITNESS TECHNOLOGY FEATURE SET USE,0,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,30,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
USING POLYNOMIAL MODELING TO UNDERSTAND SERVICE QUALITY IN E-GOVERNMENT WEBSITES,1,1,0,11,0,0,2,0,0,0,2,1,1,0,0,0,6,35,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
USING RETWEETS WHEN SHAPING OUR ONLINE PERSONA TOPIC MODELING APPROACH,0,0,0,2,0,0,1,1,0,0,1,2,0,0,2,0,2,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WHAT USERS DO BESIDES PROBLEM-FOCUSED COPING WHEN FACING IT SECURITY THREATS AN EMOTION-FOCUSED COPING PERSPECTIVE,0,1,0,12,0,0,3,0,0,0,0,2,0,0,1,0,1,53,0,2,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WHEN STATISTICAL SIGNIFICANCE IS NOT ENOUGH INVESTIGATING RELEVANCE  PRACTICAL SIGNIFICANCE  AND STATISTICAL SIGNIFICANCE,2,1,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
